claim_id,customer_id,contract_id,claim_type,description,open_date,resolution_date,status,priority,assigned_to,compensation_amount
CLM00034,CUST00154,CON00114,price_complaint,Customer claim regarding estimated reading,2022-04-30,2022-05-02,resolved,urgent,AGT128,0
CLM00035,CUST00170,CON00022,price_complaint,Customer claim regarding contract dispute,2023-03-03,2023-03-27,in_progress,urgent,AGT140,91.14
CLM00036,CUST00100,CON00207,price_complaint,Customer claim regarding delay issue,2022-09-30,2022-11-11,resolved,urgent,AGT100,0
CLM00037,CUST00170,CON00022,contract_dispute,Customer claim regarding estimated reading,2022-06-19,2022-07-08,open,urgent,AGT132,0
CLM00038,CUST00108,CON00155,quality_issue,Customer claim regarding estimated reading,2023-06-18,2023-06-21,open,urgent,AGT126,0
CLM00039,CUST00016,CON00120,service_interruption,Customer claim regarding service interruption,2022-07-25,,closed,medium,AGT112,0
CLM00040,CUST00029,CON00063,service_interruption,Customer claim regarding service interruption,2023-12-21,,escalated,medium,AGT111,0
CLM00041,CUST00040,CON00038,contract_dispute,Customer claim regarding quality issue,2022-01-27,2022-03-03,in_progress,medium,AGT122,118.21
CLM00042,CUST00077,CON00047,estimated_reading,Customer claim regarding billing error,2022-01-03,2022-01-21,escalated,high,AGT128,0
CLM00043,CUST00030,CON00279,estimated_reading,Customer claim regarding meter malfunction,2024-02-03,2024-02-10,open,high,AGT112,0
CLM00044,CUST00200,CON00143,service_interruption,Customer claim regarding billing error,2022-10-26,2022-11-06,closed,high,AGT107,0
CLM00045,CUST00171,CON00185,billing_error,Customer claim regarding quality issue,2024-09-29,2024-11-04,open,medium,AGT134,0
CLM00046,CUST00019,CON00032,contract_dispute,Customer claim regarding price complaint,2023-09-07,,open,high,AGT148,0
CLM00047,CUST00196,CON00011,contract_dispute,Customer claim regarding quality issue,2025-09-05,2025-09-22,closed,high,AGT146,25.78
CLM00048,CUST00010,CON00131,meter_malfunction,Customer claim regarding billing error,2022-06-24,2022-08-05,resolved,urgent,AGT135,0
CLM00049,CUST00007,CON00283,estimated_reading,Customer claim regarding service interruption,2024-08-09,,escalated,urgent,AGT116,180.77
CLM00050,CUST00185,CON00132,billing_error,Customer claim regarding price complaint,2025-05-06,2025-06-12,escalated,high,AGT122,156.85
CLM00051,CUST00152,CON00141,contract_dispute,Customer claim regarding service interruption,2025-11-30,2025-12-02,open,urgent,AGT138,113.29
CLM00052,CUST00013,CON00194,delay_issue,Customer claim regarding billing error,2024-01-06,2024-01-16,open,urgent,AGT121,0
CLM00053,CUST00062,CON00086,price_complaint,Customer claim regarding quality issue,2024-07-15,2024-08-02,open,urgent,AGT120,0
CLM00054,CUST00107,CON00048,estimated_reading,Customer claim regarding contract dispute,2023-04-02,2023-04-29,escalated,low,AGT108,0
CLM00055,CUST00163,CON00103,meter_malfunction,Customer claim regarding quality issue,2024-11-14,2024-12-02,escalated,medium,AGT140,0
CLM00056,CUST00102,CON00108,quality_issue,Customer claim regarding quality issue,2023-07-06,2023-07-26,in_progress,high,AGT100,0
CLM00057,CUST00173,CON00085,contract_dispute,Customer claim regarding service interruption,2023-05-08,,escalated,low,AGT149,0
CLM00058,CUST00021,CON00233,contract_dispute,Customer claim regarding estimated reading,2025-12-23,2026-01-01,resolved,medium,AGT125,0
CLM00059,CUST00084,CON00146,quality_issue,Customer claim regarding contract dispute,2023-11-24,2023-12-15,escalated,low,AGT124,0
CLM00060,CUST00128,CON00154,contract_dispute,Customer claim regarding service interruption,2022-01-31,2022-02-11,open,medium,AGT148,0
CLM00061,CUST00169,CON00116,contract_dispute,Customer claim regarding price complaint,2025-06-24,,in_progress,low,AGT120,0
CLM00062,CUST00036,CON00261,billing_error,Customer claim regarding contract dispute,2024-03-03,,in_progress,urgent,AGT125,0
CLM00063,CUST00177,CON00047,estimated_reading,Customer claim regarding quality issue,2024-06-25,,in_progress,medium,AGT108,0
CLM00064,CUST00023,CON00114,service_interruption,Customer claim regarding estimated reading,2024-08-08,2024-09-12,in_progress,medium,AGT125,0
CLM00065,CUST00054,CON00051,meter_malfunction,Customer claim regarding service interruption,2022-01-11,2022-02-06,open,medium,AGT107,117.27
CLM00066,CUST00129,CON00053,price_complaint,Customer claim regarding billing error,2023-09-11,,open,urgent,AGT106,0
CLM00067,CUST00013,CON00027,meter_malfunction,Customer claim regarding meter malfunction,2025-03-26,2025-04-11,in_progress,urgent,AGT138,0
CLM00068,CUST00155,CON00054,billing_error,Customer claim regarding service interruption,2022-01-05,2022-01-09,resolved,urgent,AGT106,0
CLM00069,CUST00048,CON00292,contract_dispute,Customer claim regarding quality issue,2024-02-11,,resolved,high,AGT138,0
CLM00070,CUST00187,CON00231,service_interruption,Customer claim regarding meter malfunction,2025-04-01,,resolved,medium,AGT108,16.57
CLM00071,CUST00099,CON00241,estimated_reading,Customer claim regarding contract dispute,2024-08-11,2024-09-15,resolved,urgent,AGT146,0
CLM00072,CUST00063,CON00228,contract_dispute,Customer claim regarding price complaint,2022-01-27,,escalated,low,AGT105,0
CLM00073,CUST00128,CON00154,price_complaint,Customer claim regarding billing error,2024-05-11,2024-06-08,closed,urgent,AGT104,0
CLM00074,CUST00148,CON00082,price_complaint,Customer claim regarding quality issue,2025-02-08,2025-02-14,closed,low,AGT146,0
CLM00075,CUST00040,CON00010,estimated_reading,Customer claim regarding delay issue,2023-05-19,2023-05-24,escalated,urgent,AGT101,0
CLM00076,CUST00123,CON00219,meter_malfunction,Customer claim regarding service interruption,2023-02-23,,closed,low,AGT134,0
CLM00077,CUST00040,CON00010,contract_dispute,Customer claim regarding price complaint,2022-10-10,2022-11-04,closed,low,AGT105,0
CLM00078,CUST00039,CON00160,billing_error,Customer claim regarding billing error,2023-01-30,2023-02-01,in_progress,urgent,AGT121,49.13
CLM00079,CUST00193,CON00074,estimated_reading,Customer claim regarding meter malfunction,2023-05-14,,closed,high,AGT138,0
CLM00080,CUST00129,CON00263,meter_malfunction,Customer claim regarding service interruption,2024-02-18,2024-03-29,escalated,high,AGT106,0
CLM00081,CUST00142,CON00060,delay_issue,Customer claim regarding price complaint,2025-10-30,2025-12-01,resolved,medium,AGT133,0
CLM00082,CUST00025,CON00045,billing_error,Customer claim regarding delay issue,2023-07-17,2023-08-29,in_progress,urgent,AGT125,0
CLM00083,CUST00111,CON00177,estimated_reading,Customer claim regarding service interruption,2023-03-28,2023-04-21,resolved,high,AGT122,0
CLM00084,CUST00064,CON00172,delay_issue,Customer claim regarding price complaint,2024-01-19,2024-03-03,closed,urgent,AGT126,0
CLM00085,CUST00113,CON00173,delay_issue,Customer claim regarding service interruption,2023-08-25,,escalated,high,AGT145,0
CLM00086,CUST00031,CON00019,service_interruption,Customer claim regarding price complaint,2023-09-21,,closed,medium,AGT136,0
CLM00087,CUST00099,CON00241,billing_error,Customer claim regarding delay issue,2022-08-13,2022-08-23,closed,urgent,AGT145,0
CLM00088,CUST00153,CON00084,billing_error,Customer claim regarding quality issue,2023-10-17,2023-12-01,in_progress,high,AGT143,173.29
CLM00089,CUST00019,CON00032,contract_dispute,Customer claim regarding delay issue,2025-03-24,2025-04-01,resolved,low,AGT111,0
CLM00090,CUST00051,CON00233,billing_error,Customer claim regarding contract dispute,2024-10-07,2024-11-06,closed,urgent,AGT108,0
CLM00091,CUST00134,CON00150,billing_error,Customer claim regarding quality issue,2025-11-30,,in_progress,medium,AGT105,0
CLM00092,CUST00143,CON00030,quality_issue,Customer claim regarding service interruption,2023-05-13,2023-05-26,escalated,high,AGT120,0
CLM00093,CUST00102,CON00108,billing_error,Customer claim regarding delay issue,2024-03-30,,in_progress,medium,AGT150,104.04
CLM00094,CUST00052,CON00218,service_interruption,Customer claim regarding service interruption,2022-08-20,,open,high,AGT132,25.3
CLM00095,CUST00065,CON00071,delay_issue,Customer claim regarding quality issue,2023-02-24,2023-03-10,closed,low,AGT150,0
CLM00096,CUST00177,CON00277,quality_issue,Customer claim regarding estimated reading,2025-05-24,2025-06-19,closed,low,AGT121,0
CLM00097,CUST00065,CON00284,service_interruption,Customer claim regarding billing error,2024-06-09,2024-07-18,resolved,urgent,AGT117,0
CLM00098,CUST00014,CON00216,contract_dispute,Customer claim regarding price complaint,2023-01-20,2023-01-30,open,medium,AGT123,0
CLM00099,CUST00168,CON00214,price_complaint,Customer claim regarding contract dispute,2022-06-08,2022-06-15,closed,high,AGT150,143.08
CLM00100,CUST00182,CON00275,meter_malfunction,Customer claim regarding billing error,2025-01-12,,open,low,AGT118,0
CLM00101,CUST00062,CON00086,delay_issue,Customer claim regarding price complaint,2023-12-15,,in_progress,high,AGT112,0
CLM00102,CUST00168,CON00214,meter_malfunction,Customer claim regarding quality issue,2023-07-17,2023-08-19,resolved,high,AGT132,0
CLM00103,CUST00011,CON00272,price_complaint,Customer claim regarding delay issue,2022-07-31,,open,urgent,AGT128,0
CLM00104,CUST00010,CON00131,service_interruption,Customer claim regarding quality issue,2025-05-30,2025-06-02,open,urgent,AGT138,0
CLM00105,CUST00144,CON00015,estimated_reading,Customer claim regarding delay issue,2024-09-17,,resolved,urgent,AGT127,103.47
CLM00106,CUST00109,CON00094,quality_issue,Customer claim regarding delay issue,2022-06-24,2022-07-31,escalated,medium,AGT142,0
CLM00107,CUST00106,CON00026,price_complaint,Customer claim regarding billing error,2024-09-02,2024-09-05,escalated,medium,AGT123,0
CLM00108,CUST00092,CON00298,delay_issue,Customer claim regarding price complaint,2025-04-19,2025-05-12,in_progress,high,AGT115,0
CLM00109,CUST00062,CON00086,service_interruption,Customer claim regarding contract dispute,2025-03-30,,closed,medium,AGT106,0
CLM00110,CUST00199,CON00274,billing_error,Customer claim regarding estimated reading,2023-11-18,2023-12-24,escalated,high,AGT127,0
CLM00111,CUST00125,CON00219,billing_error,Customer claim regarding service interruption,2022-01-09,2022-01-22,resolved,medium,AGT110,92.41
CLM00112,CUST00123,CON00197,meter_malfunction,Customer claim regarding contract dispute,2024-05-30,2024-07-07,resolved,low,AGT110,0
CLM00113,CUST00133,CON00190,estimated_reading,Customer claim regarding meter malfunction,2023-09-07,,escalated,urgent,AGT112,1.53
CLM00114,CUST00145,CON00052,quality_issue,Customer claim regarding meter malfunction,2022-09-14,2022-09-15,in_progress,urgent,AGT150,0
CLM00115,CUST00117,CON00002,contract_dispute,Customer claim regarding service interruption,2022-09-05,2022-10-08,closed,urgent,AGT112,0
CLM00116,CUST00155,CON00054,estimated_reading,Customer claim regarding service interruption,2022-01-18,,in_progress,high,AGT109,0
CLM00117,CUST00173,CON00085,billing_error,Customer claim regarding price complaint,2024-09-28,2024-10-12,closed,urgent,AGT130,0
CLM00118,CUST00159,CON00219,quality_issue,Customer claim regarding estimated reading,2022-09-04,2022-10-18,escalated,urgent,AGT122,80.53
CLM00119,CUST00117,CON00124,delay_issue,Customer claim regarding meter malfunction,2023-08-30,,resolved,low,AGT101,0
CLM00120,CUST00094,CON00078,service_interruption,Customer claim regarding delay issue,2022-11-27,2022-12-16,resolved,medium,AGT149,0
CLM00121,CUST00052,CON00218,estimated_reading,Customer claim regarding contract dispute,2022-09-18,,escalated,low,AGT129,0
CLM00122,CUST00178,CON00146,meter_malfunction,Customer claim regarding delay issue,2024-09-06,,open,high,AGT131,117.35
CLM00123,CUST00022,CON00169,estimated_reading,Customer claim regarding billing error,2022-03-18,,in_progress,urgent,AGT100,0
CLM00124,CUST00009,CON00069,meter_malfunction,Customer claim regarding contract dispute,2024-04-01,2024-04-24,resolved,urgent,AGT135,40.66
CLM00125,CUST00082,CON00295,meter_malfunction,Customer claim regarding price complaint,2024-11-05,2024-12-08,open,medium,AGT106,0
CLM00126,CUST00104,CON00211,contract_dispute,Customer claim regarding delay issue,2025-03-13,,escalated,urgent,AGT140,0
CLM00127,CUST00073,CON00123,meter_malfunction,Customer claim regarding estimated reading,2022-11-16,2022-11-18,closed,medium,AGT142,0
CLM00128,CUST00094,CON00075,contract_dispute,Customer claim regarding delay issue,2024-11-27,2024-12-07,resolved,medium,AGT146,0
CLM00129,CUST00033,CON00149,billing_error,Customer claim regarding service interruption,2022-01-06,,closed,low,AGT105,0
CLM00130,CUST00192,CON00289,estimated_reading,Customer claim regarding billing error,2022-02-05,2022-02-26,resolved,high,AGT113,99.1
CLM00131,CUST00030,CON00279,billing_error,Customer claim regarding meter malfunction,2025-08-27,2025-09-09,resolved,urgent,AGT141,76.28
CLM00132,CUST00183,CON00057,billing_error,Customer claim regarding billing error,2022-01-27,2022-02-02,escalated,low,AGT133,117.73
CLM00133,CUST00017,CON00208,billing_error,Customer claim regarding contract dispute,2024-12-03,2024-12-11,escalated,low,AGT111,0
CLM00134,CUST00060,CON00172,estimated_reading,Customer claim regarding price complaint,2025-12-02,2025-12-20,escalated,medium,AGT139,0
CLM00135,CUST00160,CON00118,meter_malfunction,Customer claim regarding quality issue,2022-04-12,2022-04-29,open,medium,AGT149,0
CLM00136,CUST00044,CON00062,service_interruption,Customer claim regarding service interruption,2024-11-14,2024-11-20,closed,low,AGT122,173.04
CLM00137,CUST00147,CON00186,contract_dispute,Customer claim regarding quality issue,2024-07-28,2024-09-11,resolved,medium,AGT104,172.63
CLM00138,CUST00023,CON00111,meter_malfunction,Customer claim regarding meter malfunction,2023-12-16,,escalated,urgent,AGT131,120.93
CLM00139,CUST00159,CON00258,estimated_reading,Customer claim regarding estimated reading,2023-08-18,2023-08-27,in_progress,urgent,AGT138,0
CLM00140,CUST00105,CON00144,estimated_reading,Customer claim regarding delay issue,2025-08-19,2025-08-21,closed,urgent,AGT144,101.82
CLM00141,CUST00123,CON00204,meter_malfunction,Customer claim regarding delay issue,2022-09-14,2022-10-27,closed,high,AGT101,0
CLM00142,CUST00168,CON00229,quality_issue,Customer claim regarding delay issue,2025-08-03,,in_progress,medium,AGT127,0
CLM00143,CUST00114,CON00197,meter_malfunction,Customer claim regarding quality issue,2025-03-13,2025-04-27,open,urgent,AGT120,0
CLM00144,CUST00141,CON00254,billing_error,Customer claim regarding quality issue,2025-05-18,,escalated,medium,AGT120,0
CLM00145,CUST00028,CON00073,quality_issue,Customer claim regarding quality issue,2023-10-25,2023-11-16,closed,high,AGT138,76.04
CLM00146,CUST00007,CON00283,billing_error,Customer claim regarding price complaint,2025-02-14,,open,high,AGT107,21.87
CLM00147,CUST00200,CON00143,meter_malfunction,Customer claim regarding estimated reading,2023-11-07,2023-12-08,in_progress,high,AGT125,0
CLM00148,CUST00024,CON00236,estimated_reading,Customer claim regarding contract dispute,2022-06-14,2022-07-26,open,low,AGT141,0
CLM00149,CUST00012,CON00050,contract_dispute,Customer claim regarding contract dispute,2025-05-20,2025-06-01,in_progress,urgent,AGT135,98.26
CLM00150,CUST00164,CON00121,meter_malfunction,Customer claim regarding billing error,2022-04-12,2022-05-23,escalated,medium,AGT101,0
